年份,考次,考科,題號,題目,選項A,選項B,選項C,選項D,正確答案,答案來源,圖片
民國113年,第1次,醫學(四),36,"下列那些特徵與臨床表現,對於乾癬性關節炎的診斷較無幫助?",手指呈現香腸指樣的腫脹表現,頭皮有嚴重皮膚乾癬病灶,類風濕因子呈現陽性,手指甲呈現指甲增厚與表面有點狀凹陷,C,原始,[]
民國113年,第1次,醫學(四),37,"有關甲癬(onychomycosis)的敘述,下列何者錯誤?",非皮癬菌(nondermatophytes)也可能導致甲癬的發生,甲癬患者常同時罹患足癬,"griseofulvin是口服抗黴菌治療甲癬最佳的選擇,因為治療效果最好",糖尿病及愛滋病是罹患甲癬的危險因子,C,原始,[]
民國113年,第1次,醫學(四),38,"關於疥瘡(scabies)的治療藥物,下列何者正確?","老人及小孩,建議使用lindane做為第一線外用藥物",孕婦可以安全使用口服ivermectin,crotamiton 10% cream目前被認為是最有效的外用藥物,permethrin藥膏可與口服ivermectin一起用於挪威型疥瘡(Norwegian scabies)之治療,D,原始,['images/113020_22_q038_i0.jpg']
民國113年,第1次,醫學(四),39,"91歲男性,到院求診時發現其指甲的黑色素區塊一直延伸到甲緣近心端的皮膚(箭頭指示處),後來病理切 片證實是肢端惡性黑色素瘤。箭頭所指為下列何者?",Darier sign,Hutchinson sign,Auspitz sign,Nikolsky sign,B,原始,[]
民國113年,第1次,醫學(四),40,"46歲男性,左腳出現紫色斑塊與丘疹約半年,皮膚切片檢查顯示真皮層紡錘狀細胞浸潤(spindle cell infiltration),以及裂隙狀血管腔(slit-like vascular spaces)。病人於五年前接受腎臟移植,其皮 膚病灶之最可能診斷是:",血管肉瘤(angiosarcoma),隆凸性皮膚纖維肉瘤(dermatofibrosarcoma protuberans),卡波西氏肉瘤(Kaposi sarcoma),鬱血性皮膚炎(stasis dermatitis),C,原始,[]
民國113年,第1次,醫學(四),41,"35歲男性病患,3天前於四肢及手掌出現靶心樣紅疹,手掌病灶如附圖。初期發作時伴有發燒38度。患者過 去也曾反覆發生類似的情況。下列何種病原被認為與此疾病有較高的相關?",Treponema pallidum,Herpes simplex virus,Enterovirus 71,Epstein-Barr virus,B,原始,[]
民國113年,第1次,醫學(四),42,"48歲婦人使用口服荷爾蒙治療停經症候群半年後,在臉部出現如圖所示之皮膚色素沉著,下列敘述何者正",白人比黃種人較易發生此病,通常伴有肝功能異常,二氧化碳(CO<sub>2</sub>)雷射治療是最佳處置,外用含有氫醌(hydroquinone)的藥膏可以改善,D,原始,"['images/113020_22_q042_i0.jpg', 'images/113020_22_q042_i1.jpg']"
民國113年,第1次,醫學(四),43,"下列有關水疱性表皮鬆解症(epidermolysis bullosa)之敘述,何者錯誤?",皮膚裂解的位置由淺層至深層排序為epidermolysis bullosa simplex、 junctional epidermolysis bullosa、dystrophic epidermolysis bullosa,localized epidermolysis bullosa simplex是最常見的subtype,可能會伴隨指甲、牙齒、眼睛、頭髮之異常,"為自體免疫水疱疾病之一,治療以免疫抑制劑為主",D,原始,[]
民國113年,第1次,醫學(四),44,下列何者最不會是造成大腦靜脈竇栓塞(cerebral venous sinus thrombosis)的原因?,使用避孕藥,抗磷脂質症候群(antiphospholipid syndrome),腦膜炎,同半胱胺酸缺乏(homocysteine deficiency),D,原始,[]
民國113年,第1次,醫學(四),45,"使用第十因子抑制劑(factor Xa inhibitor)的病人若發生腦出血,下列何種藥物或治療對此病人最恰",新鮮冷凍血漿(fresh frozen plasma),單株抗體反轉劑(idarucizumab),凝血酶複合濃縮物(prothrombin complex concentrate),血小板輸注(platelet transfusion),C,原始,[]
民國113年,第1次,醫學(四),46,"於急性缺血性腦中風,神經細胞在缺氧及缺少葡萄糖(glucose)時會產生一連串反應導致腦細胞死亡,下 列何者最不可能會發生?",粒線體(mitochondria)難以合成三磷酸腺苷(ATP),細胞內鈣離子濃度降低,產生麩胺酸(glutamate)神經毒性和自由基(free radical),產生發炎反應,B,原始,[]
民國113年,第1次,醫學(四),47,"13歲女學生半年來經常熬夜讀書,早上起床常有短暫性全身抽動(myoclonus),上肢特別明顯,意識清 楚。這次被父母送來急診主要是因為全身痙攣(convulsion)。病人智力正常,腦部斷層和磁振造影無異常 發現,腦波出現不規律之全面性4-6Hz棘慢波複合波,病人過去曾經有肝炎病史。下列何種抗癲癇藥物最適 合使用?",valproate,levetiracetam,phenytoin,carbamazepine,AB,申覆後,[]
民國113年,第1次,醫學(四),48,下列何種治療對延遲型睡眠週期症候群(delayed sleep phase syndrome)最不合適?,晚上照光治療,褪黑激素(melatonin) 每晚0.2~0.5mg,"每天延後睡覺2~3個小時,連續幾天,以重置生物鐘",晚間給與褪黑激素促效劑(melatonin agonist),A,原始,[]
民國113年,第1次,醫學(四),49,"下列有關癲癇(epilepsy)及癲癇發作(seizure)之敘述,何者正確?",90%的腦傷病人在一年內會發生創傷後癲癇,"在所有年齡層,頭部外傷都是最常見的癲癇病因",小於15歲病人其癲癇發病的最常見病因為腦血管病變,"癲癇病人接受抗癲癇藥物治療,約6~7成可達到癲癇發作緩解(remission)",D,原始,[]
民國113年,第1次,醫學(四),50,"66歲女性最近一個多月來出現記憶力減退、視幻覺、走路不穩,突然聽見鞭炮聲會身體顫抖。她的腦部磁振 造影擴散加權成像(diffusion-weighted imaging)結果如下圖。她最可能的診斷是:",邊緣性腦炎(limbic encephalitis),庫賈氏症(Creutzfeldt-Jakob disease),血管性失智症(vascular dementia),多發性硬化症(multiple sclerosis),B,原始,['images/113020_22_q050_i0.jpg']
民國113年,第1次,醫學(四),51,"用來治療阿茲海默氏病(Alzheimer disease)的藥物memantine,它最主要的機轉是:",乙醯膽鹼酯酶(cholinesterase)抑制劑,阻斷N-methyl-D-aspartate(NMDA)glutamate受體,抑制γ secretase,抑制β secretase,B,原始,[]
民國113年,第1次,醫學(四),52,"關於肌萎縮性側索硬化(amyotrophic lateral sclerosis, ALS),下列敘述何者錯誤?","ALS是最常見的運動神經元疾病(motor neuron disease),會造成上及下運動神經元漸進性的退化。大部 分是散發的(sporadic),少數是家族遺傳性的(familial),無法從臨床表現上去區分這兩種的ALS","ALS臨床變異性很高,病人可以有不同的發病部位、惡化順序及上下運動神經元受影響的比例。因與額顳葉 失智症(frontotemporal dementia, FTD)常有共同的遺傳基因,可視為與FTD為同一個疾病群(disease spectrum)","ALS第一個被發現的基因是superoxide dismutase 1(SOD1)gene,也是目前歐洲最常見造成familial ALS 的原因","臨床上若病人有無痛性漸進性的肌肉無力萎縮,甚至肌束跳動(fasciculation),且沒有明顯的感覺功能 障礙、複視、眼皮下垂、膀胱功能障礙時,要考慮可能是ALS",C,原始,[]
民國113年,第1次,醫學(四),53,"下列關於肌無力症候群(myasthenic syndrome or Lambert-Eaton syndrome)的敘述,何者錯誤?",體內有免疫抗體攻擊突觸前神經終端(presynaptic nerve terminals)的鉀離子通道,通常於成年人發病,約有一半的病人可以合併體內惡性腫瘤,口乾是一個常見的自律神經失調症狀,A,原始,[]
民國113年,第1次,醫學(四),54,"下列有關三叉神經痛的敘述,何者錯誤?",疼痛侷限於三叉神經單條或多條分支範圍的劇烈疼痛,常發生於中老年人,"成因可能與三叉神經在腦幹附近的動/靜脈血管壓迫或拉扯有關,尤其是下小腦動脈(inferior cerebellar artery)",carbamazepine是治療的選項之一,C,原始,[]
民國113年,第1次,醫學(四),55,"格林–巴利症候群(Guillain-Barré syndrome)合併呼吸肌無力時,首選治療為何?",類固醇(corticosteroid)脈衝療法,cyclophosphamide靜脈輸注,"支持性內科療法即可,不至有生命危險",血漿交換或血漿分離術(plasma exchange / plasmapheresis),D,原始,[]
民國113年,第1次,醫學(四),56,"關於多發性硬化症(multiple sclerosis, MS)及視神經脊髓炎(neuromyelitis optica spectrum disorder, NMOSD)之比較,下列何者錯誤?","MS病人女比男多,而NMOSD病人男比女多","臨床症狀及預後,通常NMOSD病人比MS病人嚴重","寡株帶(oligoclonal band)常見於MS病人的腦脊髓液中,而水離子通道蛋白抗體(aquaporin- 4 antibody)常見於NMOSD病人",MS病人脊髓發炎長度大都小於三節;而NMOSD病人其脊髓發炎長度等於三節或多於三節以上,A,原始,[]
民國113年,第1次,醫學(四),57,"關於腦下垂體腫瘤,下列敘述何者最不恰當?",雙顳側偏盲(bitemporal hemianopia)可能是症狀之一,可能會因為壓迫視交叉(optic chiasm)或直接侵犯視神經造成病人視力喪失,常合併血中泌乳激素低下(hypoprolactinemia),頭痛是常見的臨床表現,C,原始,[]
民國113年,第1次,醫學(四),58,下列何種遺傳疾病的致病突變不是三核苷酸重複序列擴增(trinucleotide repeat expansion)?,亨丁頓氏病(Huntington disease),第二型小腦脊髓共濟失調症(spinocerebellar ataxia type 2),威爾森氏病(Wilson disease),第三型小腦脊髓共濟失調症(spinocerebellar ataxia type 3),C,原始,[]
民國113年,第1次,醫學(四),59,"有關僵直狀態(catatonia)的敘述,下列何者最不適當?","患者會出現運動性活動減少或增加情形,這兩種極端的運動性障礙可以交替出現","以僵直狀態表現的主要精神疾病,以在住院病人中思覺失調症最多,情感疾患次之",抗精神病劑也可能會導致僵直狀態,患者可能會出現模仿言語(echolalia)及模仿動作(echopraxia),B,原始,[]
民國113年,第1次,醫學(四),60,"有關雙相情緒障礙症(bipolar disorder),下列敘述何者最不適當?","家族中有罹患雙相情緒障礙症者,罹患憂鬱症的機率可能較一般人高","同卵雙胞胎其中一位罹患雙相情緒障礙症,另一位罹患雙相情緒障礙症的機率約25%","雙相情緒障礙症多有躁期及鬱期,鬱期出現的頻率通常比躁期多,大約只有10%~20%的患者只出現躁期, 沒有經歷過鬱期",年輕人急性期的鋰鹽治療濃度宜介於0.6~1.2 mEq/L,B,原始,[]
民國113年,第1次,醫學(四),61,"有關鋰鹽(lithium)在治療病人時的敘述,下列何者最不適當?",可能出現噁心、嘔吐、腹瀉、視力模糊等副作用,嚴重中毒時有可能出現痙攣、心律不整或昏迷等症狀,血液透析是解救嚴重中毒的方法,目前臨床上最有效監測鋰鹽中毒的方法為臨床觀察,D,原始,[]
民國113年,第1次,醫學(四),62,"一位中年女性病人,深信鄰居偷走她的珠寶,處處刁難她。此外,眼前的丈夫只剩下外表,整個人的內在都 被鄰居所取代,且電視都在報導女病人的事情,以致女病人攻擊其丈夫。下列敘述何者最適當?","若須強制住院,須先徵得其丈夫同意",被偷妄想(delusions of being stolen)只出現於患思覺失調症(schizophrenia)的病人,"如要診斷思覺失調症(schizophrenia),須排除安非他命(amphetamine)或其他物質的影響","為了治療該病人,首選用藥是苯二氮平(benzodiazepine)",C,原始,[]
民國113年,第1次,醫學(四),63,"有關安樂死(euthanasia)的敘述,下列何者最不適當?",撤除病人維生系統是被動式安樂死之一,"在病人要求下,以解除痛苦措施協助病人安樂死,屬被動式方法之一",主動式安樂死爭議仍多,憂鬱症是評估安樂死問題的重要項目,B,原始,[]
民國113年,第1次,醫學(四),64,"有關失眠患者的臨床表現和治療,下列敘述何者最不適當?",白天常打瞌睡的人須評估是否有阻塞性呼吸障礙,"睡眠困難的頻率,為每週3次以上且達3個月者,符合失眠症(insomnia disorder)之診斷標準","失眠皆因其他疾病所導致的症狀,一定能查出潛在疾病","使用鎮定安眠類藥物處方,一般建議以不超過兩週為原則",C,原始,[]
民國113年,第1次,醫學(四),65,"關於飲食疾患中的嗜食症(binge eating disorder)與暴食症(bulimia nervosa)的敘述,下列何者最不 適當?","臨床證據顯示,抗憂鬱劑(如fluoxetine)可用於治療暴食症",嗜食症患者不會有反覆代償性減重行為(如催吐、使用瀉劑等),嗜食症患者不會有使體態纖瘦的強烈渴望,暴食症患者之自我評價不因對身材或體重的看法而有不當影響,D,原始,[]
民國113年,第1次,醫學(四),66,"根據美國食品藥物管理局(FDA)在孤兒藥法(Orphan Drug Act)中定義的醫療食品(medical food),是 指「食品製劑在醫生的監督下食用,用於疾病或病症的治療,並基於公認的科學原理,通過醫學評估所建立 特定的營養療法」。在臨床應用方面,下列敘述何者最不適當?","醫學藥物研發投入資源,收集豐富的臨床試驗資料,政府對藥物上市的規範嚴謹,首重實證(隨機分配有 安慰劑做為控制組的臨床試驗)","憂鬱症病因複雜,如果只偏重藥物單一療法,易造成整體療效不足","S-adenosyl-L-methionine(SAMe)的作用機轉,主要是促進serotonin和norepinephrine的合成","Omega-3的作用機轉,主要是血清素回收抑制作用",D,原始,[]
民國113年,第1次,醫學(四),67,"有關老年人相關精神問題及疾病之敘述,下列何者最不適當?","老年人自殺危險性比其他年齡族群高,且約有1/3的自殺原因是孤單(loneliness)",慮病症(hypochondriasis)發生高峰年齡層主要在60歲以上的老年人口族群,"焦慮症(anxiety disorder)通常開始於成年早期或中年期,但仍有些第一次焦慮症發生於60歲以上老年","一般臨床而言,老年人發生與呼吸相關的睡眠障礙症(breathing-related sleep disorders)之經驗比年 輕成年人高",B,原始,[]
民國113年,第1次,醫學(四),68,"有關譫妄症患者的治療方式,下列何者最不適當?",可使用抗精神藥物來治療其行為紊亂和激躁,若有失眠最好用短、中效半衰期benzodiazepines來幫助其睡眠,"在病人身邊擺放家人照片和時鐘,幫助建立定向感","可長時間約束,以避免病人暴力和預防跌倒",D,原始,[]
民國113年,第1次,醫學(四),69,"有關臺灣採用美沙冬(methadone)替代療法治療海洛因(heroin)成癮,下列敘述何者最適當?",長期使用多數患者會導致憂鬱或嗜睡(drowsiness),主要使用途徑為靜脈注射,不會導致依賴(dependence),"長期使用美沙冬後,藥效持續24小時以上,每天給與一次治療即可",D,原始,[]
民國113年,第1次,醫學(四),70,"苯二氮平類(benzodiazepines, BZDs)在臨床上廣泛被使用,下列敘述何者最適當?","BZDs戒斷症狀和酒精很相似,都有焦慮、不悅、失眠,甚至抽搐的可能性",BZDs戒斷誘發的抽搐多半在停用後的10天左右最易發生,"半衰期較長之BZDs,成癮性較高",男性濫用者較女性多,A,原始,[]
民國113年,第1次,醫學(四),71,"有關自閉症類群障礙症(autism spectrum disorder)的症狀,下列敘述何者最適當?",患者社交發展的主要特徵是完全缺乏依附行為(absent attachment behavior),"與同年齡孩童相比,患者面對陌生人時的反應會更為顯著不安","認知功能上,患者的視覺空間(visual-spatial)能力會優於口語理解(verbal reasoning)能力","患者雖然有社交功能障礙,但與同年齡孩童相比,其心智理論(theory of mind)功能並無缺損",C,原始,[]
民國113年,第1次,醫學(四),72,"有關中樞神經刺激劑(CNS stimulant)用來治療注意力不足/過動症,下列何者最不適當?","常用的中樞神經刺激劑為methylphenidate,其作用機轉為血清素回收抑制劑(serotonin reuptake inhibitor)",可提升社交互動和衝動控制,對於大多數的注意力不足/過動症三大核心症狀有效,副作用主要是食慾降低或影響睡眠,A,原始,[]
民國113年,第1次,醫學(四),73,詐病(malingering)與佯病(factitious disorder)之最大區別為何?,佯病為個案有意圖的(intentionally)裝病,佯病找不到真正的身體疾病或其他精神疾病,詐病為個案主要的意圖在維持病人的角色(sick role),詐病有明確的外在的因素。如避免法律事件、逃避兵役等,D,原始,[]
民國113年,第1次,醫學(四),74,"84歲女性,有高血壓病史,突然頭痛噁心而至急診求診。頭部電腦斷層檢查發現有廣泛蜘蛛網膜下腔出血 (subarachnoid hemorrhage, SAH)併腦室內出血;進一步做頭部血管攝影檢查,影像如附圖(右側及左側 頸動脈造影),造成她SAH的原因最可能為下列何者?",右側內頸動脈(ICA)和後交通動脈(PCommA)交界腦動脈瘤,左側內頸動脈(ICA)和後交通動脈(PCommA)交界腦動脈瘤,右側前大腦動脈瘤,左側前大腦動脈瘤,A,原始,[]
民國113年,第1次,醫學(四),75,"關於腦梗塞(cerebral infarction)的影像,下列敘述何者錯誤?",通常12小時之內的頭部電腦斷層(CT)掃描看不到明顯變化,"兩週左右的頭部電腦斷層(CT)或磁振造影(MRI)靜脈注射顯影劑後,可能會有顯影加強現象",頭部電腦斷層(CT)比磁振造影(MRI)更容易偵測腦梗塞之後的出血性轉化(hemorrhagic transformation),擴散加權影像(diffusion-weighted-imaging)上偵測到的異常可以持續兩週左右,C,原始,['images/113020_22_q075_i0.jpg']
民國113年,第1次,醫學(四),76,"關於受虐性腦傷(abusive head trauma, AHT)的敘述,下列何者錯誤?","以前叫做嬰兒搖晃症候群(shaken baby syndrome),亦屬兒童虐待(child abuse)",retinal hemorrhages是AHT重要的診斷依據,常發生於未滿三歲嬰幼兒,"幼兒在大人膝蓋上晃動或拋起等動作具有危險性,也會造成嬰兒搖晃症候群的腦傷",D,原始,[]
民國113年,第1次,醫學(四),77,"23歲男性經常使用某種物質,病人因全身無力、情緒低落到急診,體溫37℃,血壓120/76 mmHg,心跳 80/min,呼吸10/min。下列何種物質最有可能是病人長期濫用而致有此戒斷症狀?",amphetamine,Heroin,alcohol,benzodiazepine,A,原始,[]
民國113年,第1次,醫學(四),78,"下列有關軟組織感染的敘述,何者錯誤?",丹毒(erysipelas)最常見以group A Streptococcus的感染為主,"健康的成年人,下肢出現局部蜂窩性組織炎,但沒有併發菌血症,可考慮門診使用口服抗生素的處理方式",高壓氧(hyperbaric oxygen)使用於厭氧菌所引起的壞死性筋膜炎(necrotizing fasciitis)具有極佳 的治療效果,"疼痛異常的情形與臨床的皮膚病灶表徵不符,需將壞死性筋膜炎(necrotizing fasciitis)列入鑑別診斷",C,原始,[]
民國113年,第1次,醫學(四),79,"夫妻雙方皆為某種體染色體隱性遺傳疾病的帶因者,因此為胎兒進行產前遺傳檢測,結果顯示胎兒有異常。 下列後續處置何者最不適當?","只要胎兒確定罹患此遺傳疾病,應積極勸其中止懷孕","因為檢測可能不準確,應以其他檢驗方式進行確認後,才決定後續處置","若該疾病對生活影響不大,可以考慮繼續懷孕","若為重大遺傳疾病,諮詢內容應包含該疾病的治療及相關社會福利資源",A,原始,[]
民國113年,第1次,醫學(四),80,"25歲男子經過幾週的乾咳、發燒、盜汗,抽血檢測確認人類免疫缺乏病毒抗體陽性。他有一位固定的女性性 伴侶,剛懷孕3個月,但男子遲遲不肯將病情告知其性伴侶,下列敘述何者最不適當?","在特定且有限的情況下,醫師揭露病人隱私並不違反醫學倫理","基於醫師的保密義務,只能提醒患者通知其性伴侶","如果保密可能造成第三方的嚴重傷害,醫師應該要揭露","衛生主管機關可介入,直接或匿名通知他的性伴侶",B,原始,[]
民國113年,第2次,醫學(三),1,"葡萄柚汁(grapefruit juice)會抑制代謝酵素cytochrome P450(CYP)3A的活性而使某些藥物的血中濃度 增高,下列何者主要的代謝途徑不是經由CYP3A?",pravastatin,lovastatin,simvastatin,atorvastatin,A,原始,[]
民國113年,第2次,醫學(三),2,"關於懷孕期甲狀腺功能變化的敘述,下列何者最不適當?","懷孕期因雌激素(estrogen)刺激甲狀腺素結合蛋白(thyroxine-binding globulin)製造,導致血中 total T3、total T4上升","第一孕程(first trimester)的中後段,因高濃度人類絨毛膜促性腺激素(human chorionic gonadotropin, hCG)刺激甲狀腺,造成free T3、free T4上升","對於甲狀腺功能亢進(hyperthyroidism)的患者,在第一孕程(first trimester)使用methimazole可能 與胚胎疾病相關聯","懷孕期以甲狀腺素(thyroxine)治療甲狀腺功能低下(hypothyroidism),目標是維持TSH在正常範圍, 常需比懷孕前使用更低的劑量",D,原始,[]
民國113年,第2次,醫學(三),3,"70歲男性最近半年喉嚨時常有異物感,吞嚥時較為困難,且後咽部有刺痛感,最近1個月喝水時常發生咳嗽且 水從鼻孔流出的現象,病人因此有點害怕吞嚥。關於此病人症狀的描述,不包含下列何者?",transfer dysphagia,aphagia,odynophagia,phagophobia,B,原始,[]
民國113年,第2次,醫學(三),4,"有一位75歲男性病患,因最近2日呈嗜睡狀態、進食明顯減少而就醫。病患罹患高血壓與糖尿病25年以上,並 因末期腎病接受長期血液透析治療已10年。病人平躺時,將其脖子向前彎,觀察其髖部及膝蓋是否有自主性 屈曲(flexion)動作,此項身體診察欲測試的為何?",Babinski's sign,Brudzinski's sign,Kernig's sign,Trendelenburg's sign,B,原始,[]
民國113年,第2次,醫學(三),5,"承上題,上述病人經實驗室檢查發現:血鈣2.78 mmol/L、血清白蛋白2.8 g/dL、胸部X光片異常。則此病人 高鈣血症最不可能由下列那一原因引起?",肺結核(tuberculosis),肺部鱗狀細胞癌(squamous cell carcinoma),次發性副甲狀腺機能亢進(secondary hyperparathyroidism),三發性副甲狀腺機能亢進(tertiary hyperparathyroidism),C,原始,[]
民國113年,第2次,醫學(三),6,"下列有關急性心肌梗塞的敘述,何者正確?","ST段上升心肌梗塞(STEMI)之致病冠狀動脈血管病灶,通常都是慢性、無血栓存在之高度狹窄,平時血流 供應就不足,在心肌需氧量急遽增加、例如激烈運動時,無法維持心肌細胞需求而造成壞死","ST段上升心肌梗塞(STEMI)若不及時恢復心肌灌流,所有病人心電圖最後都會出現Q波","第一型、自發性心肌梗塞,連續心肌酶cardiac troponin監測,不會有升高至大於99百分位(99th percentile)參考值上限(upper reference limit)","第五型心肌梗塞,連續心肌酶cardiac troponin監測,應該至少有一次升高至大於99百分位(99th percentile)參考值上限(upper reference limit)之十倍",D,原始,[]
民國113年,第2次,醫學(三),7,"下列有關成人先天性心臟病之敘述,何者正確?","心房中隔缺損(atrial septal defect, ASD)為常見之成人先天性心臟病之一,因存在「左往右分流 (left-to-right shunt)」,因此右心室擴大,且可能產生肺動脈高壓","Ebstein氏異常(Ebstein anomaly)患者,因先天二尖瓣環較正常人為低而更靠近心尖部,因此常有反流 現象造成左心房擴大","部分肺靜脈回流異常(partial anomalous pulmonary venous return, PAPVR)因終究會造成肺動脈高 壓,因此經確診後應儘早進行外科手術治療","心室中隔缺損(ventricular septal defect, VSD)因存在高壓力差,所以無論缺損大小,很少會自行關",A,原始,[]
民國113年,第2次,醫學(三),8,"下列對於診斷冠狀動脈心臟病的工具的適切性(appropriateness),何者敘述錯誤?","對於冠狀動脈心臟病接受過支架治療的病人,無論有無症狀,每年定期做壓力摧迫性(stress)測試並非","冠狀動脈心臟病低風險但有典型胸痛症狀的病人,也可考慮運動心電圖壓力摧迫性(stress)測試以評估","冠狀動脈心臟病高風險,在典型胸痛症狀的病人,且無法運動或是無法接受壓力摧迫性(stress)測試 時,考慮做心導管檢查是適切的","具有典型胸痛症狀的病人,無論冠狀動脈心臟病風險高低,電腦斷層鈣化指數都是最合適的檢查工具",D,原始,[]
民國113年,第2次,醫學(三),9,下列何者最不可能造成房室傳導阻斷(atrioventricular block)?,carotid sinus hypersensitivity,Lyme disease,myocardial infarction,cat scratch disease,D,原始,[]
民國113年,第2次,醫學(三),10,"一位30歲男性,過去有法洛式四重症(tetralogy of Fallot)病史並開過刀。早上突然因為胸悶至急診, 十二導程心電圖顯示 left bundle branch block(LBBB)pattern monomorphic ventricular tachycardia(VT)。下列何者最有可能為此患者VT出處(origin)?",right atrium,right ventricle,left atrium,left ventricle,B,原始,[]
民國113年,第2次,醫學(三),11,"關於瓣膜性心臟病的描述,下列何者錯誤?","主動脈瓣二葉畸形(bicuspid aortic valve)伴隨的主動脈病變,主要是發生在主動脈弓","隨著人口的老化,感染性心內膜炎的發生率升高","成人發生的主動脈瓣狹窄,主要是因主動脈瓣退化性鈣化造成的","傳統的動脈粥狀硬化危險因子,常會合併出現在鈣化性主動脈瓣狹窄的進展過程中",A,原始,[]
民國113年,第2次,醫學(三),12,"關於心包膜疾病的描述,下列何者正確?",心包填塞(cardiac tamponade)的三個主要特徵(Beck's triad)為hypotension、pericardial friction rub和jugular venous distention,心包膜積水在臨床優先考慮的診斷工具為胸部X光,限制性心肌病(restrictive cardiomyopathy)經常合併有束縮性心包膜炎(constrictive pericarditis),"心包膜積水的病人一旦發現有心包填塞(cardiac tamponade),此時應緊急施行心包腔穿刺 (pericardiocentesis)",D,原始,[]
民國113年,第2次,醫學(三),13,"有關心衰竭的敘述,下列何者錯誤?",冠狀動脈疾病通常被認為是心衰竭的重要原因,"心衰竭在家族裡可有群聚效應。例如,親代心衰竭與其後代的左心室質量、心臟大小、收縮功能異常的比 例有關",長期嚴重高血壓也是造成心衰竭的原因之一,"左心室射出分率正常的心衰竭(heart failure with preserved ejection fraction)的病人與左心室射 出分率降低的心衰竭(heart failure with reduced ejection fraction)的病人其病因存在相當大的重 疊,以目前藥物治療臨床試驗對兩者的效果看起來是相同的",D,原始,[]
民國113年,第2次,醫學(三),14,"有關心臟核子醫學心肌灌注掃描SPECT的描述,何者錯誤?",壓力測試核子醫學心肌灌注掃描(SPECT)常用於冠狀動脈疾病評估,"附圖(左)核子醫學心肌灌注掃描(SPECT)呈現可逆的心肌灌注缺損,暗示心肌有缺血","附圖(右)核子醫學心肌灌注掃描(SPECT)則呈現固定的灌注缺損,通常反映陳舊性心肌梗塞","核子醫學心肌灌注掃描(SPECT)與電腦斷層冠狀動脈造影相比,對於冠狀動脈疾病的診斷更加敏感,尤其 是在多支血管疾病的情況下",D,原始,['images/113070_11_q014_i0.jpg']
民國113年,第2次,醫學(三),15,"有關自體免疫肝炎(autoimmune hepatitis)的病理機轉,何者錯誤?","病理特色為肝細胞的壞死發炎,經常合併纖維化,可能導致肝硬化甚至肝衰竭",肝臟內調節性T淋巴細胞(regulatory T cells)活性上升,CTLA-4TNFA*2 或的基因多形性(polymorphism)和此疾病的發生有關,病患血清中常出現抗核抗體(antinuclear antibody)、antibody to liver-kidney microsomes(anti- LKM)等自體抗體,B,原始,[]
民國113年,第2次,醫學(三),16,"一位50歲糖尿病人主訴右上腹痛、發燒5天來醫院求診,電腦斷層圖示如附圖,下列敘述何者錯誤?",應做血液細菌培養,安排肝病灶抽吸,有肝腫瘤可能,Escherichia coli是最常見的感染細菌,D,原始,[]
民國113年,第2次,醫學(三),17,關於腸躁症(irritable bowel syndrome)的敘述何者錯誤?,"糞便檢查常見糞便潛血反應,也可見到糞便中白血球過多",可以依照症狀分為便秘型、腹瀉型及混合型,"治療上的第一步是同理及支持病人,建議飲食上避免會發酵的寡糖類及豆類食物",糞便體積增加劑(bulking agent)、止瀉劑、瀉劑、抗腸痙攣藥物、血清素促進劑或拮抗劑、抗憂鬱劑、 選擇性血清素回收抑制劑等藥物及益生菌可以用來治療,A,原始,['images/113070_11_q017_i0.jpg']
民國113年,第2次,醫學(三),18,"關於急性腸阻塞(acute intestinal obstruction)的敘述,下列何者錯誤?","機械性腸阻塞(mechanical obstruction)常見的原因為術後沾黏、腫瘤、疝氣、腸套疊或是腸扭轉,以 及發炎性腸病變","腸功能性阻塞也稱為偽阻塞(pseudo-obstruction),主要是腸道蠕動功能異常引起,常見的原因為脊椎 受傷、代謝及電解質異常、使用鴉片類或是抗膽鹼藥物、腸道缺血等","機械性腸阻塞(mechanical obstruction)阻塞處前端的腸子會擴大,腸管腔內壓力上升,之後導致腸壁 水腫及缺氧,最後腸壁會缺血及壞死","小腸阻塞時,腸音常會先由正常變慢(hypoactive)進展為無腸音(absent bowel sound)。之後因為腸 子加速蠕動,會形成高頻(high-pitched)快速蠕動的腸音",D,原始,[]
民國113年,第2次,醫學(三),19,"幽門螺旋桿菌感染會造成胃潰瘍、胃癌及胃淋巴瘤之風險增加,因此必須選擇適當且高成功率之幽門螺旋桿 菌除菌方法。下列除菌療法在clarithromycin抗藥比例小於15%之地區,何者目前不推薦使用?","七日療程之clarithromycin triple therapy(proton pump inhibitor, clarithromycin, amoxicillin)","十四日療程之clarithromycin triple therapy(proton pump inhibitor, clarithromycin, amoxicillin)","十至十四日療程之concomitant therapy(proton pump inhibitor, clarithromycin, amoxicillin, metronidazole)","十至十四日療程之bismuth quadruple therapy(proton pump inhibitor, bismuth, tetracycline, metronidazole)",A,原始,[]
民國113年,第2次,醫學(三),20,"對於膽結石引發之急性胰臟炎(acute pancreatitis),下列何者為最重要的治療?",抗生素,"內視鏡逆行性膽管造影術(endoscopic retrograde cholangiography)確認是否有總膽管結石,若有則進 行內視鏡取石",積極的靜脈輸液,鼻胃管引流,C,原始,[]
